name,year,company_id,company_name,company_url,company_country,company_startyear
007 Racing,2000,1001,Eutechnyx,https://www.igdb.com/companies/eutechnyx,United Kingdom,1996.0
007 Racing,2000,1,Electronic Arts,https://www.igdb.com/companies/electronic-arts,United States,1982.0
24: The Game,2006,749,SCE Cambridge Studio,https://www.igdb.com/companies/sce-cambridge-studio,United Kingdom,1997.0
24: The Game,2006,8,2K Games,https://www.igdb.com/companies/2k-games,United States,2005.0
24: The Game,2006,334,Sony Computer Entertainment Europe,https://www.igdb.com/companies/sony-computer-entertainment-europe,,
25 to Life,2006,4,Eidos Interactive,https://www.igdb.com/companies/eidos-interactive,United Kingdom,1996.0
25 to Life,2006,1309,Avalanche Software,https://www.igdb.com/companies/avalanche-software,United States,1995.0
3D Dot Game Heroes,2009,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986.0
3D Dot Game Heroes,2009,818,Atlus,https://www.igdb.com/companies/atlus,Japan,1986.0
3D Dot Game Heroes,2009,1327,SouthPeak Interactive,https://www.igdb.com/companies/southpeak-interactive,United States,1996.0
3D Dot Game Heroes,2009,2099,Silicon Studio,https://www.igdb.com/companies/silicon-studio,Japan,2000.0
3Xtreme,1999,241,989 Studios,https://www.igdb.com/companies/989-studios,United States,1998.0
40 Winks,1999,205,GT Interactive Software,https://www.igdb.com/companies/gt-interactive-software,United States,1993.0
40 Winks,1999,12540,Piko Interactive,https://www.igdb.com/companies/piko-interactive,United States,2013.0
40 Winks,1999,425,Eurocom Entertainment Software,https://www.igdb.com/companies/eurocom-entertainment-software,United Kingdom,1988.0
50 Cent: Blood on the Sand,2009,197,THQ,https://www.igdb.com/companies/thq,United States,1989.0
50 Cent: Blood on the Sand,2009,2429,Swordfish Studios,https://www.igdb.com/companies/swordfish-studios,United Kingdom,2002.0
50 Cent: Blood on the Sand,2009,16565,Bethesda Softworks,https://www.igdb.com/companies/bethesda-softworks,United States,1986.0
50 Cent: Bulletproof,2005,1987,Genuine Games,https://www.igdb.com/companies/genuine-games,,
50 Cent: Bulletproof,2005,1988,Interscope,https://www.igdb.com/companies/interscope,,
50 Cent: Bulletproof,2005,392,High Voltage Software,https://www.igdb.com/companies/high-voltage-software,United States,1993.0
50 Cent: Bulletproof,2005,24,Sierra Entertainment,https://www.igdb.com/companies/sierra-entertainment,United States,1979.0
50 Cent: Bulletproof,2005,80,Vivendi Games,https://www.igdb.com/companies/vivendi-games,United States,2006.0
7th Dragon 2020,2011,112,Sega,https://www.igdb.com/companies/sega,Japan,2020.0
7th Dragon 2020,2011,2092,Imageepoch,https://www.igdb.com/companies/imageepoch,Japan,2005.0
7th Dragon 2020-II,2013,112,Sega,https://www.igdb.com/companies/sega,Japan,2020.0
7th Dragon 2020-II,2013,2092,Imageepoch,https://www.igdb.com/companies/imageepoch,Japan,2005.0
A New Beginning,2010,2248,Daedalic Entertainment,https://www.igdb.com/companies/daedalic-entertainment,Germany,2007.0
